"GenusspeciesAmazonfishbase2";"Genusspecies.Amazon.fishbase";"Genusspecies.base.morpho";"EdHd";"MoBd";"JlHd";"EhBd";"BlBd";"HdBd";"PFiBd";"PFlBl";"CFdCPd";"Length";"spAmazFish"
"Crenicichla_cyanonotus";"Crenicichla.cyanonotus";"Crenicichla.cyanonotus";0.343356186;0.3926839916;0.3825746789;0.5471396511;2.7412730107;0.6637419015;0.3275273983;0.2484719256;2.5769359602;15;"Crenicichla_cyanonotus"
"Crenicichla_heckeli";"Crenicichla.heckeli";"Crenicichla.heckeli";0.5162529175;0.5160540272;0.6580946319;0.6246309794;4.4300232516;0.6156438592;0.4926195888;0.1684869787;2.3963061323;5;"Crenicichla_heckeli"
"Crenicichla_hemera";"Crenicichla.hemera";"Crenicichla.hemera";0.5108387097;0.4474983248;0.6754516129;0.643107868;4.9794124337;0.5717060816;0.5992032999;0.151408755;1.5984797515;10;"Crenicichla_hemera"
"Crenicichla_hummelincki";"Crenicichla.hummelincki";"Crenicichla.hummelincki";0.4623699977;0.4081167134;0.6747823875;0.4875051765;4.2079211954;0.4804312259;0.4400377458;0.1724308723;1.5118097993;11;"Crenicichla_hummelincki"
"Crenicichla_inpa";"Crenicichla.inpa";"Crenicichla.inpa";0.4613095238;0.4460801633;0.5666719813;0.5717622581;4.4031850718;0.4924429788;0.5502100263;0.1623391097;1.3402145958;17;"Crenicichla_inpa"
"Crenicichla_isbrueckeri";"Crenicichla.isbrueckeri";"Crenicichla.isbrueckeri";0.3672195147;0.5838187379;0.4240857324;0.6369625199;4.2128460513;0.5515218058;0.5266182332;0.170816283;1.3496241784;10;"Crenicichla_isbrueckeri"
"Crenicichla_johanna";"Crenicichla.johanna";"Crenicichla.johanna";0.4859166667;0.3852076372;0.59185;0.5167839331;4.6682759316;0.5037698779;0.5119729308;0.1944528877;1.8694528302;28;"Crenicichla_johanna"
"Crenicichla_labrina";"Crenicichla.labrina";"Crenicichla.labrina";0.3514993708;0.3887054202;0.3839449701;0.5517113389;2.698717304;0.6547271286;0.3297782733;0.2538676209;2.5980845986;16;"NO_INFO"
"Crenicichla_lenticulata";"Crenicichla.lenticulata";"Crenicichla.lenticulata";0.4058454545;0.4595245976;0.4514454545;0.5953625188;3.9251700363;0.5127894347;0.4913641597;0.1830748219;1.6587064443;30;"Crenicichla_lenticulata"
"Crenicichla_lepidota";"Crenicichla.lepidota";"Crenicichla.lepidota";0.4832946429;0.3695895322;0.4884642857;0.5108876233;3.3226836014;0.5241409003;0.478292611;0.1926687427;1.5275164835;18;"Crenicichla_lepidota"
"Crenicichla_lucius";"Crenicichla.lucius";"Crenicichla.lucius";0.4694921052;0.45365252;0.6503969897;0.5336884005;4.6643157482;0.6227841005;0.4516230308;0.1669811797;1.8727745639;17;"Crenicichla_lucius"
"Crenicichla_lugubris";"Crenicichla.lugubris";"Crenicichla.lugubris";0.4474375;0.5857533196;0.552421875;0.6527779109;4.6689995686;0.6135851589;0.5376923446;0.1809075975;2.4350728155;24;"Crenicichla_lugubris"
"Crenicichla_macrophthalma";"Crenicichla.macrophthalma";"Crenicichla.macrophthalma";0.3253368761;0.3939818936;0.3905558804;0.5533133759;2.7177369774;0.6777435166;0.328550661;0.262729873;2.7576900966;20;"Crenicichla_macrophthalma"
"Crenicichla_marmorata";"Crenicichla.marmorata";"Crenicichla.marmorata";0.3185176471;0.5070613797;0.6168352941;0.5934953829;4.0824619772;0.7214149919;0.4478968631;0.1876703575;1.6657934749;28;"Crenicichla_marmorata"
"Crenicichla_notophthalmus";"Crenicichla.notophthalmus";"Crenicichla.notophthalmus";0.7030043872;0.5633060015;0.6721552729;0.4912999962;6.3624167533;0.6931901297;0.429187358;0.156903734;2.9868533644;8;"Crenicichla_notophthalmus"
"Crenicichla_pellegrini";"Crenicichla.pellegrini";"Crenicichla.pellegrini";0.5580311721;0.3895957295;0.3867909226;0.5219203699;4.6039305022;0.4611675904;0.4610859882;0.1498483821;2.0869832849;16;"Crenicichla_pellegrini"
"Crenicichla_percna";"Crenicichla.percna";"Crenicichla.percna";0.3931776066;0.4746008909;0.8516531747;0.5652546828;4.7051849597;0.5673574413;0.4022078964;0.1526612744;2.309205807;22;"Crenicichla_percna"
"Crenicichla_phaiospilus";"Crenicichla.phaiospilus";"Crenicichla.phaiospilus";0.4035017029;0.4567137452;0.6399769751;0.5934898767;4.60205066;0.6021142015;0.4543858129;0.1532012693;2.0033189724;24;"Crenicichla_phaiospilus"
"Crenicichla_proteus";"Crenicichla.proteus";"Crenicichla.proteus";0.4622028322;0.4605938028;0.5950614496;0.5353257668;3.3198798256;0.4869968189;0.4511133802;0.1929120911;1.6529322215;16;"Crenicichla_proteus"
"Crenicichla_pydanielae";"Crenicichla.pydanielae";"Crenicichla.pydanielae";0.5330925177;0.5146917598;0.5196120774;0.5277979287;4.2716645595;0.5278877443;0.4720846201;0.1194966722;1.9709528997;18;"Crenicichla_pydanielae"
"Crenicichla_regani";"Crenicichla.regani";"Crenicichla.regani";0.5741257425;0.4627131675;0.5180500163;0.5260809803;4.4316349828;0.6805167272;0.4078371074;0.1897241929;2.6196345774;8;"Crenicichla_regani"
"Crenicichla_reticulata";"Crenicichla.reticulata";"Crenicichla.reticulata";0.424407435;0.5575381657;0.7482197293;0.6361553193;4.1856452846;0.6370723006;0.4537011297;0.1909457744;1.7371321915;22;"Crenicichla_reticulata"
"Crenicichla_rosemariae";"Crenicichla.rosemariae";"Crenicichla.rosemariae";0.3979334317;0.4498426616;0.6303414123;0.5612382669;4.0507463489;0.5648315;0.487915871;0.1834888335;1.9422640609;24;"Crenicichla_rosemariae"
"Crenicichla_santosi";"Crenicichla.santosi";"Crenicichla.santosi";0.4087670571;0.3689217181;0.413053979;0.5335402708;3.5213123318;0.5030281309;0.3963358704;0.162906317;1.2810786555;12;"Crenicichla_santosi"
"Crenicichla_saxatilis";"Crenicichla.saxatilis";"Crenicichla.saxatilis";0.3473484971;0.4058086801;0.5662147734;0.4345074449;3.8665162801;0.4841663338;0.3843551002;0.1529549755;1.4896592542;20;"Crenicichla_saxatilis"
