Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Anadoras.grypus;Anadoras.grypus;0,3147877671;0,4476228848;0,2815540525;0,5354089676;3,7372530495;0,412190762;0,2408467402;0,3286109046;2,3003278275;11
Anadoras.insculptus;;;;;;;;;;;
Anadoras.regani;Anadoras.regani;0,2741855738;0,439997996;0,2092512223;0,5360037075;3,7280026052;0,4559926853;0,1601973973;0,2805032926;1,9893151049;11
Anadoras.weddellii;Anadoras.weddellii;0,2962962963;0,3229415135;0,2569012346;0,458309463;3,9112546222;0,4218530285;0,1822821728;0,2809613848;1,9846641043;12
Anchovia.clupeoides;Anchovia.clupeoides;0,4148225758;0,5756310183;0,6620631161;0,6089136083;3,5312869751;0,4884705001;0,2589309672;0,1638790492;2,7593562969;30
Anchovia.surinamensis;Anchovia.surinamensis;0,5364347826;0,5877594091;0,8695652174;0,6213936765;3,8535193653;0,5393363818;0,1957478407;0,1297707911;2,9623082873;15
Anchoviella.alleni;Anchoviella.alleni;0,484336504;0,4271559095;0,6789003261;0,4790661767;5,7285366103;0,8002131026;0,184148738;0,1688977496;3,2613821587;9
Anchoviella.carrikeri;Anchoviella.carrikeri;0,5396825397;0,3915252971;0,6647777778;0,4877491539;4,3345575283;0,6725954712;0,1495083647;0,1207891528;2,1041350432;6
Anchoviella.guianensis;Anchoviella.guianensis;0,5151515152;0,6519041681;0,6791212121;0,6919397371;5,22291952;0,6745845173;0,2048692737;0,098258317;3,1063829787;9
Anchoviella.jamesi;Anchoviella.jamesi;0,5858232648;0,5860149989;0,5999628759;0,583552722;4,2188898121;0,5908623952;0,2337232142;0,1652943479;2,7542238107;4
Anchoviella.lepidentostole;Anchoviella.lepidentostole;0,6348400203;0,5492961289;0,8576212544;0,578926628;4,2593549036;0,5282848016;0,1710419304;0,1471095985;2,9600079984;12
Anchoviella.nattereri;;;;;;;;;;;
