"","id","BvNiv2","roqst_mn1","roqst_std1","roqst_cv1","roqst_mn2","roqst_std2","roqst_cv2","roqst_mn3","roqst_std3","roqst_cv3","roqst_mn4","roqst_std4","roqst_cv4","roqst_mn5","roqst_std5","roqst_cv5","roqst_mn6","roqst_std6","roqst_cv6","roqst_mn7","roqst_std7","roqst_cv7","roqst_mn8","roqst_std8","roqst_cv8","roqst_mn9","roqst_std9","roqst_cv9","roqst_mn10","roqst_std10","roqst_cv10","roqst_mn11","roqst_std11","roqst_cv11","roqst_mn12","roqst_std12","roqst_cv12"
"60",60,"Purus1",152.770001221,13.042857779,8.53757784562164,161.8,13.3066521826,8.22413608318912,200.38500061,12.935928955,6.45553754803065,185.520000458,4.7124941335,2.54015422696534,130.204999924,15.0513616427,11.5597416777277,60.6650001526,8.72165544527,14.3767500590638,28.9099999428,4.72873118785,16.3567319170047,20.5449999809,2.31289327038,11.2576941958151,22.0749999046,2.2176282812,10.0458812719537,39.0149999619,4.79408791512,12.2878070480627,62.8899997711,3.82934739651,6.08896074168808,105.220000839,7.08770810788,6.73608444341784
"61",61,"Purus2",170.275003433,3.52446583969,2.06986684400615,176.274995804,7.3342953457,4.1607122509054,206.212499619,3.70318342976,1.79580938915053,169.17499733,9.0032991985,5.32188523162071,101.099999428,12.2292684144,12.0962101717016,45.8875007629,7.46700094261,16.2724071227847,22.3249998093,3.7224823489,16.6740532170097,17.6624999046,1.83025783507,10.3623940266425,21.5,1.4874479429,6.91836252511628,33.9999997616,2.22991031851,6.55855980631061,63.8624992371,4.41189723018,6.90843183853502,114.775000572,3.05522096469,2.66192197731545
"62",62,"Purus3",160.892308064,24.0703871228,14.9605580356428,176.13974312,14.9216363218,8.47147614586575,191.928205246,18.5128569412,9.6457198239683,141.046154903,16.711332223,11.8481303049294,76.729487248,12.2742915275,15.9968376796626,34.2205127569,9.58114307408,27.9982452108293,20.1064102955,7.91859777468,39.3834486529515,16.6935896996,7.06249281546,42.3066155485373,24.0333332893,7.68652938862,31.9827853094442,40.8602564151,15.2791241641,37.3936081283464,65.783333216,16.7619638038,25.4805632131196,110.724358877,22.0807561754,19.9420944039322
"7",7,"Putumayo",127.04634057,44.7185513307,35.1986142458475,108.93902439,36.8831437717,33.8566863235886,151.075609347,35.8968009721,23.7608182599813,196.926828896,24.5034790906,12.4429359005931,210.099999777,18.6912514999,8.8963596000661,188.107315436,34.3035821567,18.2361765554892,152.219511823,38.4771714765,25.2774240409081,117.358536511,26.7491960722,22.7927144180882,100.773170657,11.695090224,11.605360978277,119.375609979,12.7845325507,10.7095013403064,120.468292795,22.7187729874,18.8587158166675,117.992684434,33.0845443582,28.0394878012171
"93",93,"Roosevelt",142.918180639,20.8164622401,14.5653003326993,183.590909784,19.0949284923,10.4008028037803,214.922726718,20.2801285689,9.43600934093375,134.481818459,23.1929188449,17.2461371437886,62.2727272727,15.5216909933,24.9253432009306,21.3000000173,5.4166411946,25.4302403295801,11.0545454025,2.16180206704,19.5557753695697,12.1727273031,2.79905536172,22.9944801359936,18.3318181471,5.33312016568,29.092150723324,33.5909091776,10.7668645161,32.0529118731917,59.2409087094,11.0913826186,18.7225058835738,101.454545108,10.9766165948,10.8192457845188
"28",28,"Santiago",85.3333323797,29.0869478206,34.086267358193,90.9416672389,31.8497893661,35.022218453981,134.041667302,38.8688722822,28.9976043006293,158.616666158,54.0318544414,34.0644244707414,167.033334732,51.1667115096,30.6326348520165,153.558333715,58.2741578407,37.9491991290132,134.375,44.2675590513,32.943299759107,92.8749987284,31.4654067152,33.8793078288121,85.5500001907,29.7834262016,34.814057434494,78.1833340327,29.3222568946,37.504485140447,76.4416666031,29.0030875755,37.9414642096825,79.6999994914,29.6488339704,37.200544742286
"83",83,"Solimoes1",102.442855835,9.93390462191,9.69702039340848,134.671429225,6.53074486899,4.84939152021538,176.685712542,9.27368567851,5.24869019972713,188.600001744,2.74954540112,1.45787135508734,171.571428571,6.09489581657,3.5523955633719,88.3857149397,12.9953215567,14.7029659324087,47.4285714286,7.08292016828,14.9338678246778,26.5571428026,3.42046699744,12.8796498285393,23.1857141767,1.86043648054,8.02406372459127,31.9857142312,4.17113522004,13.0406192898808,44.4428569249,4.58502466969,10.3166740100391,66.5714302063,10.6924161859,16.0615689835189
"84",84,"Solimoes2",119.71666654,8.94584078268,7.47251075495908,126.808333079,8.26876198943,6.5206771421549,164.683331807,10.195163856,6.19076851563107,184.641666412,3.1060321659,1.68219461308877,171.474999746,15.4624343904,9.01731121930542,102.316666921,24.7703381517,24.2094850204859,57.6083335876,18.2491760581,31.6780141372256,34.0999997457,9.7426891866,28.5709362441522,31.4583331744,7.80688325651,24.8165826626283,50.5666672389,5.31810343471,10.5170139245777,60.1666669846,3.46706711156,5.76243838211516,90.5499986013,8.48022175916,9.36523676438605
"85",85,"Solimoes3",123.000001526,6.18482216952,5.02831064454307,124.160002136,5.79089123444,4.66405535987095,157.3,4.83197976428,3.07182438924348,183.83999939,3.25981679577,1.77318146572368,177.779998779,15.3447554398,8.63131710270468,117.56000061,24.7925467956,21.0892707272503,69.2,19.4566184112,28.1165005942197,41.6200004578,11.0195104243,26.4764783832068,41.6799987793,7.56370280175,18.1470801901905,57.8399993896,4.22118519054,7.29803809662383,64.2199996948,1.44000034332,2.24229266609075,93.2200012207,5.62615348742,6.03535015420133
"86",86,"Solimoes4",151.300000191,22.1601566941,14.6465014316756,138.737503052,10.8571334699,7.82566590219708,173.274997711,11.1042513069,6.40845560732336,200.737503052,11.3565974382,5.65743683444051,194.17499733,9.82926286718,5.06206411862346,145.550000191,18.8231238379,12.9324107270348,91.1125001907,17.3830690289,19.0786873288703,65.0749988556,17.0532064947,26.2054656851254,65.8874998093,11.0131094538,16.7150210368819,80.0124998093,19.1096455142,23.8833251801225,94.6625013351,26.005188768,27.4714785698965,118.050000191,26.6046055804,22.5367264187673
