"","BvNiv2","MEAN","STD","cv","MEAN00","STD00","cv00","MEAN01","STD01","cv01","MEAN02","STD02","cv02","MEAN03","STD03","cv03","MEAN04","STD04","cv04","MEAN05","STD05","cv05","MEAN06","STD06","cv06"
"57","Madera6",1707.40544473,58.2166720055,3.40965716052909,1736.96593057,77.4047786198,4.45632106292372,1575.87476767,74.8089894733,4.74714050938885,1322.83720152,48.1020201296,3.63627663890376,2190.87869558,111.23378605,5.07713121107112,1749.42681885,80.4768818018,4.60018566850954,1552.67247354,52.1639793252,3.35962543383469,1823.18223523,69.6785998956,3.82181213425491
"58","Mamore1",1450.05169543,320.92283233,22.1318200820994,1504.2802657,331.402060825,22.0306061564123,1280.41755962,443.881015209,34.6668953322332,1192.87506025,301.315325374,25.259587983242,1669.26830101,513.285524576,30.7491326748033,1414.49762827,363.279569793,25.6825859960832,1383.61232769,221.254200675,15.9910544483507,1705.41071263,214.570888951,12.5817720835176
"59","Mamore2",1393.98500198,580.130568271,41.6167008573973,1565.21335333,625.749548664,39.9785465241984,1166.25384796,675.305040962,57.9037781648684,1188.75288229,619.248627591,52.0922924197741,1228.27955376,574.817967796,46.7986270744613,1291.36706497,601.723334054,46.5958402050449,1530.48314577,541.149945424,35.3581120393026,1787.54515428,487.573615222,27.2761565801334
"60","Purus1",2791.00755539,126.957012955,4.54878786371683,2968.79806026,370.450915782,12.4781446316883,3219.90300909,217.298937008,6.7486174706055,2361.41467337,159.444823332,6.75208912395105,2453.09549201,271.314388085,11.0600826167877,2966.09211571,189.008115927,6.37229420239218,2714.43517167,209.656325085,7.72375510283465,2853.31437082,149.970916512,5.25602499485189
"61","Purus2",2431.12557005,207.261682643,8.52533843567518,2159.32668598,222.428405446,10.3008223299501,2656.05583269,278.842382704,10.4983629964433,1898.03077502,206.035870862,10.8552439493416,2815.32668754,117.971875266,4.1903440829129,2854.37339196,234.55389876,8.21735164084261,2175.45975514,372.412341876,17.1187879249935,2459.30588629,256.611001171,10.4342856495217
"62","Purus3",2015.84898587,220.903096738,10.9583157412291,2161.1294216,337.613110636,15.6220681307484,1986.52528753,332.544125688,16.7399895574185,1536.565979,331.439866475,21.5701682195711,2332.11974684,388.238078963,16.6474332842067,1798.66444814,362.043328904,20.1284530462805,1634.339872,196.568593946,12.0274000110792,2661.598161,483.153528269,18.152760072823
"63","Jurua1",2468.83631526,184.639009406,7.47878700036682,2684.56706935,349.183011162,13.0070511237607,2724.1332766,331.772066787,12.1789954124816,2134.08462799,264.969172153,12.4160573895592,2533.90387009,238.974789776,9.43109139209421,2222.76466376,382.920161696,17.2272021388111,1856.63113875,271.417379728,14.6188100621179,3125.76956523,357.40929664,11.4342816762854
"64","Javary1",2667.93571269,140.767255315,5.27626114247965,3159.43754527,327.920301135,10.3790721112981,3018.75515847,162.510209995,5.38335179449814,2518.90651133,195.409812439,7.75772389963859,2805.27414108,222.028548699,7.91468275587217,2346.1185254,112.400108286,4.790896413336,1725.45578886,50.4930385555,2.92635945131115,3101.60234173,175.987861901,5.67409495192856
"65","Ucayali1",2277.86999652,523.489816789,22.9815493240948,2159.04987828,554.98047457,25.7048473105273,2552.77074327,506.224196144,19.8303822416715,2276.19631923,525.981444245,23.10791208128,2177.04963349,598.066181175,27.4714077242349,2160.0215817,523.007710376,24.2130779991734,1944.60239392,522.340462744,26.8610418447057,2675.39940967,595.841133708,22.2711095604785
"66","Ucayali2",3218.62524499,1074.09666872,33.3712870236105,3057.77685755,1214.39175883,39.7148587161136,3397.34311584,1098.99725886,32.3487272667857,3052.94618447,983.685076891,32.2208456177478,3305.11021031,1139.78241495,34.4854586511079,3233.84401871,1174.31381532,36.3132485217528,2935.04408486,1054.20834942,35.9179732549157,3548.312214,976.334928991,27.5154741214382
"67","Maranon1",1821.42693915,186.812159208,10.2563630301405,2092.53255498,289.789905745,13.848764505734,2176.90106052,203.251497808,9.3367356695324,1672.94168655,170.308053157,10.1801547852045,1597.37798433,250.556001838,15.6854548075603,1746.4966799,176.934030135,10.130796821505,1470.43285263,79.651670947,5.4168859737142,1993.30572442,227.623443229,11.4193944481463
"68","Maranon3",2680.05847603,527.859310185,19.6958131662457,2713.09991412,571.283761414,21.0564955032,3045.08517927,482.967393834,15.8605544804425,2727.5557351,579.070451297,21.2303801475122,2658.56379232,662.193244223,24.9079313475918,2741.9650154,543.424467104,19.8187965219069,2244.42535792,471.248809727,20.9964126480787,2629.71433285,434.37162851,16.5178256468353
"69","Maranon5",2668.47496265,1082.11912773,40.5519685541802,2728.66414182,1181.70343639,43.3070313886931,2650.81299924,1126.93130978,42.5126672497493,2630.54535161,1085.4771969,41.2643407282693,2689.77449268,1051.76224968,39.1022463980636,2680.57775885,1068.83390382,39.8732661379143,2675.77269743,1046.67838998,39.1168648587118,2623.17728056,1053.16976369,40.1486308796166
"70","Napo1",2577.00387124,139.925180197,5.42976212642129,3017.92348264,127.416683072,4.22199846367673,2897.88413454,140.272737717,4.84052264357582,2541.97397323,185.844593511,7.31103447431657,2770.25439499,231.684978248,8.36331055613527,2471.86061597,142.573166713,5.76784814612421,1647.63562472,75.9252132121,4.60813131695928,2691.49485646,139.624134556,5.18760547585223
"71","Napo2",3068.51321543,711.464518824,23.1859688674764,3483.08215273,748.970869538,21.5031066364876,3371.23225957,756.814538646,22.4491960320329,3054.97457168,722.242717349,23.6415295905989,3214.72891914,753.485313095,23.4385334517279,3050.47660156,753.399214706,24.6977542565222,2480.73440801,753.915947481,30.3908368847021,2824.36360684,584.56300563,20.6971582629912
"72","Japura1",2828.74839679,89.8734681344,3.1771460564109,3195.52759255,140.746060696,4.40447020467396,3106.28836667,164.527155777,5.29658345768382,2676.27562712,159.613941499,5.96403224995043,2802.65999476,379.065414123,13.5252015881955,2977.8113711,205.218138146,6.89157614675212,2293.24105161,217.421485902,9.48096955395755,2749.4347629,106.044493182,3.85695615014878
"73","Caqueta1",3026.84753272,411.82589738,13.6057694656963,3278.0631432,472.362454518,14.4098034077796,3282.72291271,504.876083077,15.3797958737921,3130.07960961,434.18828117,13.8714772569027,3285.67849832,374.073093894,11.3849572952822,3042.71398905,414.695221732,13.6291226590599,2319.62267002,540.487580252,23.3006681318277,2849.05190208,286.322027015,10.049730115691
