"basin";"variable";"value"
"Abuna";"Acestrorhynchus_heterolepis";1
"Apaporis";"Acestrorhynchus_heterolepis";1
"Aripuana";"Acestrorhynchus_heterolepis";1
"Beni";"Acestrorhynchus_heterolepis";1
"Blanco_Baures";"Acestrorhynchus_heterolepis";1
"Branco";"Acestrorhynchus_heterolepis";1
"Candeias";"Acestrorhynchus_heterolepis";1
"Caqueta1";"Acestrorhynchus_heterolepis";1
"Curaray";"Acestrorhynchus_heterolepis";1
"Demini";"Acestrorhynchus_heterolepis";1
"Guapore";"Acestrorhynchus_heterolepis";1
"Isiboro";"Acestrorhynchus_heterolepis";1
"Itonamas";"Acestrorhynchus_heterolepis";1
"Jamanxim";"Acestrorhynchus_heterolepis";1
"Javary1";"Acestrorhynchus_heterolepis";1
"Jiparana";"Acestrorhynchus_heterolepis";1
"Jurua1";"Acestrorhynchus_heterolepis";1
"Madera2";"Acestrorhynchus_heterolepis";1
