"","tempMin.s","tempMax.s","tempMean.s","tempCV.s","precMin.s","precMax.s","precAnn.s","precCV.s","aetMin.s","aetMax.s","aetAnn.s","aetCV.s","petMin.s","petMax.s","petAnn.s","petCV.s","ro_mean.s","npp_mn.s","npp_sd.s","npp_cv.s","SolRad_mn.s","SolRad_cv.s","basin"
"Itonamas",-0.409980494627664,0.301412534014287,-0.0538958956289653,1.79690659213511,-0.50604965675337,-1.22059006236762,-1.15042523008809,0.406435903653282,-0.828579126426048,-1.20924626938484,-1.31749347710335,0.765912171105985,-0.751546904112484,1.05481386710147,0.522042415990904,1.67630202616538,-0.87960280918272,-1.06442514542089,0.205035466457061,0.741428367693262,-1.53043505527494,2.32652214666947,"Itonamas"
"Jamanxim",-0.0458214649282281,0.440729764712785,0.139309172428725,-0.197724540317987,-0.424065020612736,0.464968069560535,0.138577657263128,0.38272905970114,-0.2898863739526,0.293164907548553,0.0133299498183714,0.318464500503095,0.635951469373123,0.580666900090834,0.585350276301491,-0.0495113494944669,0.0917273159255309,-0.0866189084940035,-0.445147657697448,-0.441404685802948,0.11457016864434,0.0632035193099146,"Jamanxim"
"Japura1",0.283803658808877,-0.11247789821112,0.137042393352699,-0.318793164780084,1.11840312120518,0.391180917187397,1.04205116557825,-0.826479552808099,0.606246988571655,0.162956366588188,0.560589876848441,-0.54641331070891,-0.156527613768153,-0.489837402597911,-0.291983572562479,-0.397493171780645,0.786572671644023,0.389825018778941,-0.40263162234591,-0.424627070530908,0.36941850434843,-0.405945961591895,"Japura1"
"Jari",0.296646236445903,0.0976656994615237,0.10919482825977,-0.0231362777725488,-0.188660856012976,0.436439908836817,0.0619427807349337,0.0974047419719498,-0.240944444263461,-0.174845870309055,-0.0954709385662616,0.0393288318358157,-0.148775465009165,0.0718576737728687,-0.288250213760225,0.163076483150309,-0.0851088891359044,0.248786615878978,-0.237723572944026,-0.278494443474507,0.358991531841982,-0.332271462644464,"Jari"
"Jatapu",0.412654859965639,0.201738814620148,0.309876428122084,-0.178912779825527,0.0877465852290081,0.509299867056338,-0.025858005608691,0.0874133727188988,0.0796716476420109,-0.305455932449818,0.00916400032517012,-0.261990167985548,0.222607590737614,-0.0627625605591647,-0.0718196752525093,-0.358094361391414,-0.223703848266566,-0.241415567092457,-0.41944987387828,-0.407254188856295,0.375350150007175,-0.407720554351276,"Jatapu"
"Javary1",0.166931380276318,0.00359158765624865,0.152768882181258,-0.256211871223031,0.293985983248775,-0.297806058314613,0.265679088253016,-0.539226582962501,0.669276959969502,0.315310038597276,0.591390522634641,-0.430495258507914,0.0335112942681014,-0.0175419651984417,0.0857494511053758,-0.16864403863328,0.0380430404368584,0.233144092236597,-0.319877117737854,-0.346968688616343,0.215682291853949,-0.130388749586845,"Javary1"
"Jiparana",-0.272898437604564,0.218204663109677,-0.0810874426804451,-0.113478608969701,-0.585480045564969,0.145165998890221,-0.242655951367588,0.60501751099871,-0.595064371305061,0.482383797513545,-0.237142077955278,0.703595280057872,0.253714584053785,0.407845006576611,0.416118255659907,0.200507218351942,-0.0834276028475562,-0.442211564579881,-0.0557940222918245,0.0258113438165673,-0.324118805924873,0.61810413774219,"Jiparana"
"Jurua1",0.0843476010406535,0.0383304957153956,0.124496785509722,-0.157170189119646,-0.0874064540335252,-0.134186437244041,0.0522454067329668,-0.0964549202468086,0.219070184576077,0.261599744695327,0.239589297908539,-0.088509188318198,0.0943531932011929,0.0339762236798978,0.145869697589704,-0.154173526164075,0.0364065939950082,0.0391601522387015,-0.248540605420471,-0.265484545424919,0.0483832348972024,0.46399294454675,"Jurua1"
"Juruena1",-0.440652447910663,0.213310760291132,-0.104490201027949,0.200723556949652,-0.60753601651454,0.369065577080662,-0.206599514017011,0.702942758087272,-0.656185777751916,0.578193789748598,-0.217125913355137,0.862713250420745,0.487814292259929,0.680336546439477,0.648610894067679,0.102691094418931,-0.139301452586503,-0.716248776445055,0.300597116763293,0.598955542267756,-0.501296949061871,1.27738155185345,"Juruena1"
"Jutai",0.208321434039121,-0.045044513633956,0.125520803067189,-0.36487066951802,0.304568185007404,0.0860860811842707,0.466528803234783,-0.417963310441406,0.609772601499822,0.135890844621529,0.499307067959269,-0.467902030699684,-0.0758758817717164,-0.174141438654447,-0.0801915918127498,-0.23927076647221,1.02112552291089,0.185171582294971,-0.335142019722382,-0.356561246642834,0.261021140076957,-0.131692761813084,"Jutai"
"Luna",0.407417878043016,0.147750411401124,0.306361182603934,-0.29822832728105,0.0465691097529151,0.00474350405945986,0.187470098514051,-0.192960049982501,0.362280682259435,-0.238319121099488,0.158595399181283,-0.466755616884163,0.0276070336541432,-0.353361335120528,-0.258144193289301,-0.319265196643226,0.364299561648902,0.319475205879739,-0.297223663505229,-0.334545289081679,0.279992102114145,-0.238465341726516,"Luna"
"Madera1",0.39741646479002,0.192711566134435,0.327432562646085,-0.290128911963618,0.105888971706319,-0.278702655785532,0.0117623220397834,-0.229301462024375,0.353673063000859,-0.283672651642434,0.103252845017063,-0.458424736678116,0.140940285196278,-0.282395989537728,-0.216514010476112,-0.264594524062381,0.355026178383282,0.246990844182983,-0.312007566990294,-0.341327358200673,0.290022162263891,-0.30328229521967,"Madera1"
"Madera2",0.218953045450168,0.216358245943004,0.239341893103693,-0.268464201038784,-0.249110122205428,0.45702473956004,0.363319765639333,0.0884641038414437,0.134960136121215,0.156535507320661,0.161190141684585,-0.154021115046589,0.174630976031083,-0.0720875337893499,0.00326869155819808,-0.162862785249269,0.70778569908544,0.464286920311273,-0.375665316030892,-0.406600125988943,0.147363690917099,-0.0816893520240704,"Madera2"
"Madera3",0.189279567945925,0.280027434143503,0.234250360897493,-0.22721340116877,-0.330222153961151,0.327549434548322,0.211999150581381,0.180616377577009,-0.0361626438541495,0.22885286072853,0.0811836705503192,0.0181169186073304,0.169091084895173,0.0178326872705082,0.108815806600323,-0.118620451429323,0.431986587442415,0.334230509905063,-0.253884139140673,-0.300103083786501,0.100018515346856,-0.134903121595597,"Madera3"
"Madera4",0.0811390672469801,0.255224344769746,0.172218065650734,-0.0520703012650563,-0.459050870041998,-0.0876888467436925,-0.226910946991746,0.344872040970479,-0.371139932103194,0.370296034242823,-0.144190777708509,0.442276226967626,0.298554550295324,0.118120847151519,0.238122885306104,0.0188528430144678,-0.181696710178405,-0.465016113148392,-0.216805541773836,-0.155110290900511,-0.169602975127575,0.0474577124446456,"Madera4"
"Madera6",0.111189736750847,0.373899027186801,0.225720108127985,0.0144349722127347,-0.546630860020825,-0.402725465913374,-0.55301404763994,0.438773685032202,-0.577963053481705,0.332722520673251,-0.34632012267898,0.658063068615785,0.155473208173356,0.325546715265564,0.328940139014071,0.245680235394255,-0.438209757114479,-0.702707287884352,-0.454106323409697,-0.416025142869664,-0.259819141902001,-0.247051161669066,"Madera6"
