"","tempMin","tempMax","tempMean","tempCV","precMin","precMax","precAnn","precCV","aetMin","aetMax","aetAnn","aetCV","petMin","petMax","petAnn","petCV","ro_mean","npp_mn","npp_sd","npp_cv","SolRad_mn","SolRad_cv"
"Maranon1",20.5933330374,32.3048382085,26.4632473701,0.39610142483,111.209219229,239.060388832,2190.20342669,20.4254294465,119.121066181,153.645079675,1647.719339518,0.0805290789510464,119.347174753,160.913578055,1728.095121845,0.0929166708854931,548.99067900765,1821.42693915,186.812159208,10.2563630301405,14.7428149813,0.0584040099768026
"Maranon3",19.8736496108,31.2685019935,25.4025180368,0.437235784128,150.311254035,242.625284792,2373.7669926,14.517680843,112.132475793,151.6995206,1628.364771217,0.0894831695540995,112.186064173,152.891375546,1646.661002469,0.0922981501424009,573.6509912486,2680.05847603,527.859310185,19.6958131662457,14.7478568051,0.089938535621075
"Maranon5",7.77259318151,23.072166372,15.7379818606,0.555737459856,52.155482096,162.721015137,1215.80283075,42.3917023213,64.7307334219,94.4792296507,938.8777107111,0.123743493655458,103.56407896,135.901896582,1447.954745639,0.0864179677543835,187.53599809635,2668.47496265,1082.11912773,40.5519685541802,14.699068404,0.298236638253691
"Marmelos",18.9148493455,33.3345579155,26.1180322302,0.470648215609,28.6533094591,359.062978513,2391.92902569,58.7508026673,79.6284576439,151.161397876,1403.9315571741,0.210097886524374,123.444122005,162.439151642,1722.733020498,0.0927781684822809,1668.53294568425,2678.77503911,348.411480296,13.0063732567762,14.6763908659,0.121184772838968
"Maues",20.6398505241,33.1583408826,26.7303222467,0.428692442086,63.708327941,314.562346318,2253.57942927,49.3260968034,93.4922997282,137.267018248,1403.652031837,0.133038521553882,124.828232173,159.457907338,1688.459201502,0.0849239065897507,1492.6630074164,2462.3686411,115.698492964,4.6986666022645,14.7406881445,0.0718415364784125
"Napo1",20.500124877,31.5659729055,26.161704382,0.431768485582,205.73480663,316.179141754,3093.11999546,13.2843411791,118.612919095,151.265874518,1684.302315901,0.0772534691233493,118.612919095,151.265874518,1684.678157875,0.0773446775304515,949.154706683,2577.00387124,139.925180197,5.42976212642129,14.7658706308,0.025559710967585
"Napo2",16.5950558574,27.9482033756,22.1518272532,0.475300904357,166.863379169,316.704479874,2872.59120146,20.1094739897,109.112069382,139.692341173,1522.602953265,0.0730259043501269,109.848757919,141.225267196,1546.825334902,0.0755613073158708,1128.0944686216,3068.51321543,711.464518824,23.1859688674764,14.7727990423,0.00620441844744879
"Negro1",21.9579562986,32.5848896244,27.0194833245,0.37826630389,101.941048872,330.396323619,2305.29336251,40.0838779651,111.127813152,135.314586781,1487.813469468,0.0571453989215775,123.779650875,153.639103157,1672.478742999,0.0645593389746291,1069.61988102765,2448.76052815,160.442810598,6.55200084914845,14.7698823841,0.0201672476146228
"Negro2",21.5617436853,32.2849563497,26.7739681062,0.317012548015,120.132627168,324.076382261,2414.90527296,33.7703876149,116.977255267,144.260388779,1571.976533583,0.0673997920211103,125.561261786,155.56182051,1706.414107787,0.0622150184644533,1368.33176283615,2588.89054143,316.746432703,12.2348329384386,14.7728233521,0.00477166581997202
"Negro3",21.049582092,31.5399598153,26.1947438699,0.380725560098,172.952464933,347.552148746,2888.48106974,22.604502195,119.238349279,148.518797987,1638.62063275,0.0646310486693338,119.238349279,151.237965068,1657.344208808,0.0692624756531503,2241.7986810392,2845.52241286,105.026821199,3.69095041122656,14.7721887453,0.0125839207201536
"Negro5",20.3667436754,32.3442506129,26.0322109815,0.443580751408,165.13885147,403.11003718,3224.972095,27.9656222216,126.901413099,158.146718485,1746.2539133,0.0644771399159731,126.901413099,164.104197538,1766.771883503,0.0687592097297953,2054.21576348235,2689.66576689,190.580643236,7.08566267162496,14.7600178589,0.044401952846068
"Nhamunda",22.3947759857,33.193067503,27.1127270012,0.554168249701,65.2414874552,379.724283154,2234.98799283,54.0778673835,82.3268817204,136.585633214,1369.4162783763,0.143046871717242,120.381003584,160.22625448,1645.42900239,0.0905155704710226,1282.47074365835,2148.36802315,157.39505948,7.32626150566246,14.771661277,0.0099543492929228
"Orthon",16.565713216,32.5348633471,25.154331711,0.990571646075,35.3503307126,268.79196306,1882.84575066,54.6362411082,78.7354548858,154.500935979,1366.0070136026,0.246530427552864,115.920454262,167.383426931,1730.296593036,0.121467622899439,898.185780285,1904.59007621,257.646646789,13.5276692873303,14.539411003,0.109512803233326
"Pachitea",14.2214500102,29.5616225195,22.2510359297,0.514103738672,65.8857417606,284.578925897,2055.58941632,45.3567619547,92.9345222484,145.31299356,1433.0002914003,0.172557131763209,118.953550718,161.743887869,1720.774339249,0.0987879021707741,607.00057947925,3461.16146868,652.907626176,18.8638303091073,14.6005479495,0.132409514800861
"Paru_Este",20.681953988,32.3885709315,25.5878403062,0.632364138471,43.1644776898,347.843741846,2028.74449856,55.2528920588,67.5559493781,136.828563973,1312.3860137436,0.229057852562354,119.232517178,162.658019483,1643.424784727,0.0999337595170932,956.22123412325,2571.72789504,210.211725862,8.17394897288426,14.7680362748,0.0423988589846201
"Pastaza",15.8232112926,27.3143056201,21.3733354874,0.461283224621,141.803025101,237.891677942,2286.39409116,17.8091641592,100.377996325,128.672428765,1423.259274219,0.0769761539818621,105.16793554,139.207597084,1521.16250328,0.0865828252704747,879.9593177804,2544.43593117,814.366860631,32.0057915648335,14.7645394501,0.0579563449219681
"Purus1",20.6841885771,32.5562541427,26.39379557,0.358583061754,60.9897398365,330.07682004,2407.56936312,47.0724701723,96.6122818162,144.636157755,1456.1247928637,0.137944519368604,118.865085064,154.712425431,1663.602643063,0.0813214382201944,1276.34052262295,2791.00755539,126.957012955,4.54878786371683,14.7198599813,0.148807527067696
"Purus2",19.6010322034,32.8879977858,26.2638956726,0.422700530754,32.1083650809,331.524632868,2291.23613689,54.8669206473,81.9176516558,152.11917554,1420.1175800223,0.209927199130874,122.211487741,157.448699163,1710.625899516,0.0833072384882754,1128.82339489575,2431.12557005,207.261682643,8.52533843567518,14.6797441334,0.135667724446143
"Purus3",17.7701260919,32.1926490473,25.4741614051,0.613183580116,32.5388761617,295.360384422,2044.82824682,55.983997318,75.8792609562,155.060032408,1405.8741055299,0.251648402789023,122.914875864,164.492518299,1759.278728281,0.091749774856901,887.2597618237,2015.84898587,220.903096738,10.9583157412291,14.6305506774,0.255560531406085
"Putumayo",20.0972930072,30.8934826667,25.5128702628,0.486678406417,168.974602455,320.525950282,2931.93219054,19.8541200147,113.989738938,146.009198107,1616.491609739,0.0714689659300806,114.006221832,146.475176451,1624.486011508,0.0730027634200104,2094.1610850375,2819.27552739,339.067833653,12.026771784413,14.7685857988,0.0277587287909659
"Roosevelt",15.0781094527,32.906892886,24.2151904296,0.493330129977,7.00969511417,339.912573883,2022.02310385,72.4369746708,54.5672633981,155.425933013,1284.3093648558,0.337589464979918,125.632223498,169.146886649,1777.812660345,0.102177323044794,1372.74769547885,2153.79647526,249.209307815,11.5706990273961,14.5844333811,0.309880625716783
"Santiago",13.2757379596,25.5573795961,19.0181149663,0.503303392025,123.082729156,234.182936302,2050.0449508,20.8214137752,96.5502330399,123.677472812,1353.3025116527,0.0754505287852302,101.317581564,136.04337131,1468.924158467,0.0948348617572142,717.70779673245,3164.12531417,818.325047273,25.8625991710338,14.7591368874,0.0448547753677364
"Solimoes1",22.2672201579,32.5117007277,26.9881250968,0.391366233163,89.1863291531,308.566651184,2390.31429014,39.7411751045,108.369987614,138.357330856,1472.97840223,0.0840234374554023,119.418447128,149.298343397,1624.33139805,0.0689730920641931,1366.5794980185,2609.06839621,116.951671659,4.48250692963385,14.760725112,0.0187616151453739
"Solimoes2",21.665726529,32.1184521491,26.5497052331,0.351396390079,106.829684457,311.124918842,2514.39436437,34.1616673159,117.212907415,140.922919101,1530.394182572,0.0659682496755559,118.495883651,150.242487989,1631.022750291,0.0711331513812211,1514.59629273375,2761.36166965,94.032899064,3.40530905811837,14.756865037,0.0534433525974247
"Solimoes3",21.6637986695,32.127465271,26.6358344747,0.315365975347,120.974026609,300.661171982,2547.75009783,29.8733613774,118.353991391,143.277489728,1550.458961065,0.0635475199781363,119.15363921,151.126394052,1643.240315008,0.0712943415850146,1681.7999790166,2832.95782764,79.0058736426,2.78881220439543,14.7593119831,0.0401544655738432
"Solimoes4",20.7864042686,31.3976959324,25.9707366087,0.342564617837,164.228501143,331.225521447,3020.22053219,21.5552283279,116.608412445,150.220393597,1628.880500311,0.0719383209843055,116.608412445,151.703901324,1637.438812279,0.0750413186273767,2152.966501714,2830.33438573,93.2944851517,3.29623544207613,14.7642135686,0.0248798052260112
"Solimoes7",19.9339365061,31.1390727315,25.6068229654,0.342974304256,122.561447615,297.072614593,2653.52633887,27.6313727783,116.806097989,146.912155051,1622.172795838,0.0788937344172793,117.243890318,154.297591207,1665.689926333,0.0790937637418138,1789.6233615889,2737.00563697,102.06569966,3.72910082030345,14.7476135516,0.0799456525955745
"Solimoes8",20.292692888,31.3586571979,25.9444904011,0.422267806045,157.97305031,314.696191665,2823.63982103,21.1202070652,116.076817023,151.878674367,1659.935903439,0.0794100750974344,116.076817023,151.94141824,1662.691691379,0.0794574003344471,974.96516100545,2747.0381912,120.187060792,4.37515070511263,14.7566167935,0.027710355631727
"Solimoes9",20.3912203985,31.8432605549,26.1530317495,0.431187663597,175.31734056,285.722692699,2806.7909648,15.2851291842,118.619499276,156.906014227,1693.031164352,0.0867771981367033,118.619499276,157.778338928,1697.944107414,0.087901334861093,865.13325500525,2451.57166475,187.283991483,7.63934394314752,14.7555164873,0.0382124510087667
"Tapajos1",20.7533313265,32.7920710415,26.4186172988,0.527342604857,56.7017660044,323.95777644,2066.68793899,56.5914509332,80.070158539,139.948003211,1324.7572345989,0.182726418317864,124.77332932,162.955990367,1692.245193659,0.0891638607968274,1078.79580444535,2422.91613628,162.389773133,6.70224489826229,14.755419965,0.0612005491136152
"Tapajos2",18.2221322906,34.0991647378,26.2362871807,0.422516813065,30.5709110252,338.825313762,2291.93292025,57.044911514,77.7330180135,142.720481893,1397.148737043,0.201709759701383,130.08172918,170.003507814,1765.042266279,0.0899890145905132,1338.6855036248,2460.86840133,180.622822987,7.33980016523357,14.7040771547,0.136958417248667
"Tapaua",19.8546930506,32.1450138448,26.0826879179,0.345701600594,63.211021814,344.327709867,2584.33124873,46.6049841291,101.327871952,150.105423111,1517.804403323,0.138519820942805,117.716647532,157.866360505,1694.72779091,0.0858270715445806,1313.88259542755,2310.13351726,205.182192554,8.88183263092785,14.7077509568,0.075986937484367
